----------------------------------------ARGUMENTS----------------------------------------
auto_arg_by_dataset                      yelp23
index                                    3
emsize                                   384
nhead                                    2
nhid                                     2048
nlayers                                  6
dropout                                  0.2
lr                                       1.0
clip                                     1.0
epochs                                   200
batch_size                               256
seed                                     2022
cuda                                     True
log_interval                             200
checkpoint                               ./yelp23/3
outf                                     generated.json
vocab_size                               20000
endure_times                             5
rating_reg                               0.2
context_reg                              1.0
text_reg                                 1.0
peter_mask                               True
use_feature                              True
words                                    15
data_path                                /home/P76114511/projects/nete_format_data/yelp23/reviews.pickle
index_dir                                /home/P76114511/projects/nete_format_data/yelp23/3
meta_root                                data/yelp23/3/train-data
----------------------------------------ARGUMENTS----------------------------------------
[2024-08-03 16:11:52.654879]: Model will be saved to (model/yelp23/3/model.pt)
[2024-08-03 16:11:52.654910]: Prediction will be saved to (model/yelp23/3/generated.json)
[2024-08-03 16:11:52.654919]: Loading data
[2024-08-03 16:13:34.607601]: epoch 1
[2024-08-03 16:13:41.081347]: context ppl 2634.8531 | text ppl 2510.4178 | rating loss 3.0671 |   200/ 9625 batches
[2024-08-03 16:13:47.349404]: context ppl 944.0139 | text ppl 762.9575 | rating loss 1.3510 |   400/ 9625 batches
[2024-08-03 16:13:53.615830]: context ppl 826.0929 | text ppl 446.5888 | rating loss 1.2591 |   600/ 9625 batches
[2024-08-03 16:13:59.877006]: context ppl 758.9536 | text ppl 306.2584 | rating loss 1.2328 |   800/ 9625 batches
[2024-08-03 16:14:06.140480]: context ppl 709.4357 | text ppl 236.3838 | rating loss 1.2624 |  1000/ 9625 batches
[2024-08-03 16:14:12.404944]: context ppl 677.3916 | text ppl 196.6766 | rating loss 1.2276 |  1200/ 9625 batches
[2024-08-03 16:14:18.667090]: context ppl 655.3035 | text ppl 170.8943 | rating loss 1.2151 |  1400/ 9625 batches
[2024-08-03 16:14:24.928060]: context ppl 645.0223 | text ppl 154.4645 | rating loss 1.1983 |  1600/ 9625 batches
[2024-08-03 16:14:31.190813]: context ppl 623.8444 | text ppl 139.0203 | rating loss 1.1926 |  1800/ 9625 batches
[2024-08-03 16:14:37.458462]: context ppl 625.6858 | text ppl 132.8109 | rating loss 1.1730 |  2000/ 9625 batches
[2024-08-03 16:14:43.719979]: context ppl 625.2914 | text ppl 124.6312 | rating loss 1.2044 |  2200/ 9625 batches
[2024-08-03 16:14:49.990809]: context ppl 611.7675 | text ppl 115.8883 | rating loss 1.1939 |  2400/ 9625 batches
[2024-08-03 16:14:56.243105]: context ppl 599.6404 | text ppl 109.4913 | rating loss 1.1712 |  2600/ 9625 batches
