,dataset,model,strategy,index,BLEU-1,BLEU-4,rouge1-F,rouge2-F,rougeL-F,BERT-P,BERT-R,BERT-F,FMR,BART,USR,USN,Distinct-1,Distinct-2,Distinct-3,ENTR,Entr-1,Entr-2,Entr-3
0,gest,pepler,x,1,15.921386673847826,1.2400845514212555,15.576221531586386,2.178936249505913,14.93943320046062,0.5717353224754333,0.5328509211540222,0.545557975769043,0.1348973607038123,-0.0013262988471628,0.151426286323647,568,0.6410113435709313,0.90731628825398,0.8752490405323883,6.742365468680577,5.628909665953826,7.12904057403329,7.4691461660546175
1,gest,pepler,x,2,14.720106395840894,1.072997999405149,16.280327237170123,2.5219289065914103,15.6178495899449,0.5380451679229736,0.5209176540374756,0.5216649174690247,0.1659951651893634,-0.0013910983155051,0.2686005909213,1000,0.6346745834629571,0.865644682001905,0.8369092135163393,7.549867898668933,6.011022994342765,7.941325337747876,8.69725536391616
2,gest,pepler,x,3,17.633470225872692,1.3445808488674336,17.310268241240973,2.530336863756456,16.593346886580342,0.5595782399177551,0.5366824865341187,0.5419182777404785,0.1726190476190476,-0.0014087774536826,0.1915584415584415,708,0.6233254487605191,0.9011582098320696,0.8792931383609998,6.8554041778639965,5.733570736182343,7.233099383503597,7.59954241390605
3,gest,pepler,x,4,17.22711502535362,1.2042240033212723,17.177822067673166,2.5274609395688543,16.488371315064096,0.5523964166641235,0.5314638018608093,0.5351887941360474,0.1777003484320557,-0.001519551196644,0.2420262664165103,903,0.6231141031290639,0.8884254309523211,0.861994070932035,7.451840371626216,6.038193095362135,7.902899274031386,8.414428745485127
4,gest,pepler,x,5,15.798098190796413,1.0879484869836349,16.18372627621559,2.451226947862614,15.567794501484393,0.5471238493919373,0.5193798542022705,0.5268524885177612,0.160075329566855,-0.001471475340007,0.2383642722625773,886,0.6422820704535254,0.9067133726847224,0.8764737605917554,7.5416708483799,6.188674374951608,7.976696100652851,8.459642069535242
5,yelp,pepler,x,1,10.489243690741754,0.5743946820084394,7.663906860580178,0.7799032077074105,6.950355146678906,0.2472765147686004,0.4102005958557129,0.3040534555912018,0.0912,-0.0004504915714263,0.2763,2763,0.1697109698762537,0.3564862355737125,0.4080352104437844,8.24494894379842,6.159789275727719,8.674816403453724,9.900241152213816
6,yelp,pepler,x,2,11.354814004595887,0.5944141364352031,9.438876575279286,0.9867559035821368,8.484525795959263,0.2989835441112518,0.4102683663368225,0.3369558751583099,0.0957,-0.0005682750225067,0.374,3740,0.242630280714472,0.4851036843195913,0.5392633400627639,8.196781955849746,6.200409896380572,8.549434449245062,9.8405015219236
7,yelp,pepler,x,3,10.416623092039126,0.6018704898403252,7.516452218341113,0.7964273395614471,6.814228707154207,0.2360720187425613,0.4116832017898559,0.2964231371879577,0.1002,-0.0006380274295806,0.2544,2544,0.1568778242579914,0.3164304878390985,0.360117174889886,8.176826678646002,6.03239875811196,8.588195751264,9.909885526562046
8,yelp,pepler,x,4,9.357852409043907,0.5207198745821304,7.013824122498053,0.66791496270549,6.40096183358154,0.2306701689958572,0.407244324684143,0.2904446423053741,0.0924,-0.0004180369377136,0.2505,2505,0.1507448929584459,0.2955084200635334,0.3297941873675931,8.400119650698269,6.26619554013039,8.849290015216871,10.084873396747543
9,yelp,pepler,x,5,10.769857133511724,0.6649218495565695,8.205612043907907,0.8853189254912648,7.524126750391029,0.2545085847377777,0.4144477546215057,0.3106739223003387,0.1064,-0.0004573927402496,0.3481,3481,0.1808193431026679,0.3721235077179222,0.4247997433922016,8.186720228233083,5.919577399192395,8.582846988155554,10.057736297351298
10,yelp23,pepler,x,1,22.325766621170278,1.5270825120908216,21.972709334983275,4.679027336490677,21.138761370150508,0.5766240954399109,0.5575227737426758,0.5574957728385925,0.2447,-0.0005361704826354,0.2527,2527,0.6212804291793788,0.8893294378208321,0.8659491887131082,8.326524475046888,6.358606428202472,8.699524027740068,9.921442969198129
11,yelp23,pepler,x,2,22.41339171198243,1.3832069483298302,22.177934910823065,4.418284615495934,21.2650327933795,0.5682113170623779,0.5624180436134338,0.5531592965126038,0.2727,-0.0004488527297973,0.2415,2415,0.6094758792892565,0.8433436391631065,0.8260894648571945,8.074006504535953,6.026304565157765,8.488356591902733,9.70735835654736
12,yelp23,pepler,x,3,19.15118889682621,0.7472765029097669,14.3953448970528,2.3076115015095504,13.536392640768169,0.3614749610424042,0.5300127267837524,0.4073171615600586,0.273,-0.0007148329734802,0.4992,4992,0.3407248208452759,0.579626780118975,0.6115852834755258,8.634323581985237,6.183602992013901,9.018940274126049,10.700427479815762
13,yelp23,pepler,x,4,23.825976763434152,1.600149578516446,22.14464906915886,4.442656431309297,21.299962226218412,0.576755940914154,0.5637651085853577,0.5591264367103577,0.2597,-0.0004776981830596,0.277,2770,0.6052505486317232,0.8647283296035438,0.8462014442620717,8.34672467127036,6.331798629304661,8.745876560267153,9.962498824239264
14,yelp23,pepler,x,5,21.017386538790745,1.3394511695583342,22.212462612504734,4.493188241543295,21.42456244656213,0.5891209840774536,0.560842752456665,0.5660820603370667,0.2532,-0.0006941692352294,0.2449,2449,0.6379556557833899,0.8697822933680344,0.8451723955724317,8.172105173612772,6.219718631684206,8.58206292407742,9.71453396507669
